ID,Level,OPD,IPD,Room
8,"6A","12,000","100,000","2.000"
1,"2","12,000","70,000","2,000"
2,"3A","12,000","70,000","2,000"
3,"3B","12,000","85,000","2,000"
4,"4A","12,000","85,000","2,000"
5,"4B","12,000","85,000","2,000"
12,"8A","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง"
13,"8B","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง"
14,"8C","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง20000","เบิกตามจ่ายจริง"
15,"9B","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง"
16,"10A","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง"
17,"10B","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง"
18,"11","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง","เบิกตามจ่ายจริง"
6,"5A","12,000","85,000","2,000"
7,"5B","12,000","85,000","2.000"
9,"6B","12,000","100,000","2.000"
10,"7A","15,000","100,000","2,500"
11,"7B","15,000","100,000","2,500"
